"genome_id","genome_name","genome_quality","genome_status"
"1116234.3","Acinetobacter baumannii AB5075","Good","WGS"
"1439316.7","Acinetobacter baumannii BIDMC 56","Good","WGS"
"1409922.5","Acinetobacter baumannii MRSN 3405","Good","WGS"
"1409923.3","Acinetobacter baumannii MRSN 3527","Good","WGS"
"1409924.3","Acinetobacter baumannii MRSN 3942","Good","WGS"
"1409925.3","Acinetobacter baumannii MRSN 4106","Good","WGS"
"1409926.6","Acinetobacter baumannii MRSN 58","Good","WGS"
"1409927.3","Acinetobacter baumannii MRSN 7339","Good","WGS"
"1409928.3","Acinetobacter baumannii MRSN 7341","Good","WGS"
"405416.6","Acinetobacter baumannii ACICU","Good","Complete"
"509173.8","Acinetobacter baumannii AYE","Good","Complete"
"480119.5","Acinetobacter baumannii AB0057","Good","Complete"
"470.21046","Acinetobacter baumannii MTC1106","Good","WGS"
"470.21047","Acinetobacter baumannii MTC0619","Good","WGS"
"470.2142","Acinetobacter baumannii A069","Good","WGS"
"470.2143","Acinetobacter baumannii A068","Good","WGS"
"470.2155","Acinetobacter baumannii A085","Good","WGS"
"470.2156","Acinetobacter baumannii A086","Good","WGS"
"470.2157","Acinetobacter baumannii A087","Good","WGS"
"470.2158","Acinetobacter baumannii A089","Good","WGS"
"470.2159","Acinetobacter baumannii A091","Good","WGS"
"470.2160","Acinetobacter baumannii A092","Good","WGS"
"470.2161","Acinetobacter baumannii A093","Good","WGS"
"470.2162","Acinetobacter baumannii A094","Good","WGS"
"470.2163","Acinetobacter baumannii A095","Good","WGS"
"470.2165","Acinetobacter baumannii A097","Good","WGS"
"470.2166","Acinetobacter baumannii A099","Good","WGS"
"470.2167","Acinetobacter baumannii A100","Good","WGS"
"470.2168","Acinetobacter baumannii A101","Good","WGS"
"470.22910","Acinetobacter baumannii MGL_112","Good","WGS"
"470.22911","Acinetobacter baumannii MGL_77","Good","WGS"
"470.22912","Acinetobacter baumannii MGL_78","Good","WGS"
"470.22913","Acinetobacter baumannii 20200622_MGL_69","Good","WGS"
"470.22914","Acinetobacter baumannii MGL_74","Good","WGS"
"470.22915","Acinetobacter baumannii 20200622_MGL_62","Good","WGS"
"470.22916","Acinetobacter baumannii MGL_59","Good","WGS"
"470.22917","Acinetobacter baumannii MGL_180","Good","WGS"
"470.22918","Acinetobacter baumannii MGL_179","Good","WGS"
"470.22919","Acinetobacter baumannii MGL_176","Good","WGS"
"470.22920","Acinetobacter baumannii MGL_175","Good","WGS"
"470.22921","Acinetobacter baumannii MGL_172","Good","WGS"
"470.22922","Acinetobacter baumannii MGL_166","Good","WGS"
"470.22923","Acinetobacter baumannii MGL_165","Good","WGS"
